Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HD 61606,4918,60,0.77,0.03,4.53,0.05,0.09,0.05,0.81,0.04,9.81,0.51,71.1,7.2,A1,Yee,114.99720249999999,-3.5975075000000003
HD 61995,4989,60,3.9,0.58,3.26,0.05,-0.04,0.05,0.99,0.22,10.0,0.28,10.9,7.2,A1,Yee,115.94673958333331,43.794650555555556
HD 63754,6033,60,1.95,0.24,3.99,0.05,0.24,0.05,1.38,0.1,9.54,0.08,20.1,6.5,A1,Yee,117.43860124999998,-20.2076325
HD 64413,4906,60,7.8,1.11,2.69,0.05,-0.15,0.05,1.1,0.19,9.81,0.22,3.0,8.2,A1,Yee,118.46576874999998,0.3314586111111111
HD 66428,5670,60,1.18,0.12,4.29,0.05,0.23,0.05,1.02,0.06,9.91,0.15,18.7,8.3,A1,Yee,120.86944833333334,-1.1627105555555555
HD 68988,5866,60,1.23,0.14,4.29,0.05,0.31,0.05,1.13,0.06,9.63,0.21,16.7,8.2,A1,Yee,124.59238666666667,61.46072083333333
HD 69960,5600,60,1.58,0.2,4.06,0.05,0.28,0.05,1.08,0.1,9.93,0.14,16.0,8.0,A1,Yee,125.56708583333332,56.83645666666667
HD 72440,5599,60,2.3,0.3,3.75,0.05,-0.01,0.05,1.09,0.16,9.84,0.18,7.0,8.3,A1,Yee,128.75451208333334,50.472007500000004
HD 72490,4935,60,4.03,0.54,3.21,0.05,-0.11,0.05,0.93,0.18,10.07,0.24,8.1,7.8,A1,Yee,128.40271666666666,13.550788055555556
HD 72687,5795,60,0.95,0.05,4.53,0.05,0.03,0.05,1.02,0.04,9.26,0.31,22.6,8.3,A1,Yee,128.31408,-29.956588611111112
HD 72760,5293,60,0.84,0.05,4.52,0.05,0.09,0.05,0.89,0.04,9.67,0.47,47.6,7.3,A1,Yee,128.63188249999996,-0.7260633333333334
HD 74390,4874,60,4.5,0.57,3.23,0.05,0.19,0.05,1.26,0.17,9.74,0.2,7.2,8.2,A1,Yee,131.33919916666667,42.403839166666664
HD 77818,4777,60,4.34,0.62,3.19,0.05,-0.01,0.05,1.07,0.19,9.95,0.26,8.5,7.6,A1,Yee,136.85891041666665,58.875054722222224
HD 80367,5073,60,0.83,0.04,4.43,0.05,0.04,0.05,0.81,0.03,10.08,0.27,35.2,8.2,A1,Yee,139.86796791666666,0.8970605555555555
HD 80606,5525,60,1.13,0.11,4.31,0.05,0.29,0.05,0.98,0.05,9.98,0.15,15.3,9.0,A1,Yee,140.65657,50.60373194444445
HD 8407,4923,60,4.92,0.67,3.05,0.05,-0.12,0.05,0.97,0.17,10.01,0.23,6.3,7.8,A1,Yee,20.760886666666664,-16.560311111111112
HD 84737,5872,60,1.55,0.19,4.1,0.05,0.14,0.05,1.13,0.09,9.8,0.12,54.3,5.1,A2,Yee,147.14738041666666,46.021007222222224
HD 8553,5054,60,0.8,0.04,4.48,0.05,-0.01,0.05,0.81,0.04,10.01,0.41,32.1,8.5,A1,Yee,21.22476708333333,18.499931944444445
HD 8594,4800,60,5.4,0.73,3.07,0.05,0.14,0.05,1.26,0.2,9.73,0.24,10.7,7.2,A2,Yee,21.42318125,44.786538888888884
HD 86081,5939,60,1.52,0.18,4.14,0.05,0.23,0.05,1.19,0.09,9.69,0.11,9.7,8.7,A1,Yee,149.02465999999998,-3.808423611111111
HD 87424,5017,60,0.76,0.03,4.56,0.05,-0.05,0.05,0.81,0.04,9.66,0.51,43.2,8.1,A1,Yee,151.1569120833333,-11.729699722222222
HD 87883,4942,60,0.78,0.04,4.5,0.05,0.13,0.05,0.81,0.04,9.92,0.48,55.3,7.5,A1,Yee,152.1797520833333,34.24226277777778
HD 88133,5392,60,2.02,0.24,3.88,0.05,0.33,0.05,1.18,0.1,9.82,0.12,13.5,8.1,A1,Yee,152.531985,18.18686888888889
HD 88654,5197,60,2.94,0.37,3.59,0.05,0.19,0.05,1.24,0.15,9.73,0.16,9.9,7.7,A1,Yee,153.31844708333333,-8.445551111111111
HD 93396,5327,60,2.46,0.31,3.74,0.05,0.31,0.05,1.25,0.14,9.74,0.14,8.9,8.0,A2,Yee,161.70725041666668,-9.399026388888888
HD 95088,5103,60,2.67,0.31,3.65,0.05,0.28,0.05,1.19,0.12,9.81,0.15,9.0,8.4,A1,Yee,164.82475499999995,43.87338861111111
HD 95526,4832,60,4.25,0.65,3.2,0.05,-0.06,0.05,1.05,0.22,9.96,0.27,6.2,8.3,A1,Yee,165.5357458333333,43.72110777777778
HD 9625,4946,60,7.26,0.83,2.89,0.05,0.16,0.05,1.53,0.14,9.46,0.14,6.3,8.4,A1,Yee,23.568088749999998,-6.272590833333333
HD 96612,4862,60,0.73,0.03,4.53,0.05,-0.11,0.05,0.75,0.04,9.9,0.5,43.9,8.3,A1,Yee,167.0583933333333,38.426631666666665
KOI-1925,5410,60,0.9,0.05,4.48,0.03,0.11,0.06,0.91,0.04,9.81,0.34,14.4,9.6,B1,Yee,293.67917583333326,46.852760555555555
KOI-975,6190,60,1.84,0.14,4.0,0.03,-0.16,0.06,1.26,0.09,9.53,0.1,9.0,8.2,B1,Yee,287.3618120833333,38.71401527777778
KOI-1612,6060,60,1.19,0.08,4.29,0.03,-0.2,0.06,1.02,0.06,9.75,0.11,11.0,8.8,B1,Yee,284.786185,48.42322222222222
KIC 10018963,6020,60,1.83,0.15,3.95,0.03,-0.35,0.06,1.1,0.1,9.72,0.12,7.0,8.8,B1,Yee,294.7528016666666,46.901939999999996
KIC 10068307,6114,60,2.02,0.16,3.93,0.03,-0.22,0.06,1.3,0.09,9.49,0.11,8.6,8.2,B1,Yee,288.9778608333333,47.061175
KIC 10162436,6200,60,2.03,0.15,3.95,0.03,-0.08,0.06,1.36,0.09,9.48,0.09,7.2,8.7,B1,Yee,298.7257541666666,47.14526361111111
KIC 10355856,6350,60,1.64,0.12,4.08,0.03,-0.19,0.06,1.21,0.09,9.58,0.1,5.6,9.2,B1,Yee,297.55947,47.47365722222222
KIC 10454113,6120,60,1.2,0.08,4.31,0.03,-0.06,0.06,1.1,0.06,9.6,0.15,8.9,8.7,B1,Yee,284.1527141666666,47.65642583333333
KIC 10516096,5940,60,1.39,0.1,4.18,0.03,-0.06,0.06,1.08,0.05,9.78,0.08,7.3,9.5,B1,Yee,282.39024416666666,47.71100194444445
KIC 10644253,6030,60,1.1,0.06,4.4,0.03,0.12,0.06,1.12,0.04,9.34,0.26,10.1,9.3,B1,Yee,280.92676249999994,47.937780277777776
KIC 10709834,6508,60,1.72,0.13,4.09,0.03,-0.08,0.06,1.34,0.08,9.42,0.07,4.3,9.8,B1,Yee,281.44792666666666,48.082499722222224
KIC 11026764,5682,60,2.06,0.19,3.88,0.03,0.05,0.06,1.2,0.14,9.74,0.16,,9.7,B3,Yee,290.35266791666663,48.514810833333335
KIC 11137075,5590,60,1.63,0.12,4.01,0.03,-0.06,0.06,1.0,0.06,9.98,0.1,3.8,10.9,B1,Yee,291.62109374999994,48.712090555555555
KIC 11244118,5745,60,1.62,0.14,4.09,0.03,0.35,0.06,1.2,0.1,9.74,0.13,6.3,9.8,B1,Yee,291.83537499999994,48.95333611111111
KIC 11414712,5635,60,2.18,0.18,3.8,0.03,-0.05,0.06,1.08,0.13,9.85,0.15,7.8,8.7,B1,Yee,297.0933641666667,49.236625555555555
KIC 11717120,5150,60,2.23,0.14,3.68,0.03,-0.3,0.06,0.86,0.04,10.13,0.06,6.8,9.5,B1,Yee,294.07853416666666,49.82415166666667
KIC 12009504,6065,60,1.35,0.11,4.21,0.03,-0.09,0.06,1.1,0.07,9.71,0.09,7.0,9.3,B1,Yee,289.4408408333333,50.48007611111111
KIC 12258514,5990,60,1.55,0.11,4.11,0.03,0.04,0.06,1.14,0.07,9.75,0.1,12.1,8.2,B1,Yee,291.59204416666665,50.987315
KIC 1435467,6264,60,1.69,0.13,4.09,0.03,-0.01,0.06,1.3,0.08,9.51,0.09,5.6,9.0,B1,Yee,292.08268374999994,37.05983416666666
KIC 3427720,6040,60,1.1,0.07,4.38,0.03,-0.03,0.06,1.08,0.05,9.5,0.25,10.5,9.2,B1,Yee,286.4385904166666,38.522933333333334
KIC 3656476,5710,60,1.32,0.1,4.23,0.03,0.34,0.06,1.1,0.08,9.81,0.14,8.6,9.6,B1,Yee,294.20339,38.71577472222223
KIC 4914923,5905,60,1.37,0.1,4.21,0.03,0.17,0.06,1.12,0.07,9.76,0.11,7.3,9.5,B1,Yee,289.1454275,40.04732194444444
KIC 5021689,6168,60,1.81,0.14,4.02,0.03,-0.08,0.06,1.28,0.09,9.54,0.1,,,B3,Yee,294.71970708333333,40.15374333333333
KIC 5184732,5840,60,1.31,0.1,4.26,0.03,0.38,0.06,1.16,0.06,9.65,0.13,14.2,8.3,B1,Yee,291.1264533333333,40.32324194444445
KIC 5596656,5094,60,3.32,0.27,3.35,0.03,-0.46,0.06,0.9,0.08,10.07,0.14,3.0,9.8,B1,Yee,282.8201291666667,40.85393444444445
KIC 5773345,6130,60,1.94,0.15,4.0,0.03,0.21,0.06,1.39,0.09,9.51,0.08,5.2,9.3,B1,Yee,285.43771166666664,41.080578333333335
KIC 5955122,5837,60,2.09,0.15,3.87,0.03,-0.17,0.06,1.18,0.08,9.65,0.12,5.2,9.4,B1,Yee,290.12226749999996,41.29125277777778
KIC 6106415,5990,60,1.17,0.08,4.31,0.03,-0.09,0.06,1.04,0.06,9.73,0.11,24.1,7.2,B1,Yee,285.415325,41.49009111111111
KIC 6116048,5935,60,1.17,0.08,4.28,0.03,-0.24,0.06,0.96,0.05,9.87,0.09,13.3,8.5,B1,Yee,289.44315208333336,41.41023277777778
KIC 6225718,6230,60,1.19,0.07,4.32,0.03,-0.17,0.06,1.09,0.06,9.56,0.16,19.1,7.5,B1,Yee,297.3255783333333,41.582460833333336
KIC 6442183,5760,60,1.65,0.11,4.03,0.03,-0.11,0.06,1.07,0.05,9.81,0.1,10.9,8.6,B1,Yee,291.5804533333333,41.870200555555556
KIC 6603624,5625,60,1.15,0.08,4.32,0.03,0.28,0.06,1.01,0.06,9.9,0.14,12.0,9.2,B1,Yee,291.04663874999994,42.052701666666664
KIC 6933899,5860,60,1.55,0.11,4.09,0.03,0.02,0.06,1.09,0.06,9.85,0.09,7.0,9.8,B1,Yee,286.7430333333333,42.435627777777775
KIC 7206837,6304,60,1.54,0.11,4.17,0.03,0.14,0.06,1.29,0.05,9.48,0.07,4.8,9.8,B1,Yee,293.76557166666663,42.73797888888889
KIC 7680114,5855,60,1.39,0.1,4.18,0.03,0.11,0.06,1.08,0.07,9.85,0.11,5.9,10.2,B1,Yee,290.9850466666666,43.31459361111111
KIC 7747078,5840,60,1.99,0.15,3.91,0.03,-0.26,0.06,1.17,0.1,9.63,0.12,5.4,9.5,B1,Yee,289.72555708333334,43.49630305555556
KIC 7799349,5115,60,2.67,0.21,3.67,0.03,0.41,0.06,1.22,0.12,9.78,0.14,5.3,9.7,B1,Yee,281.05337291666666,43.533990833333334
KIC 7871531,5400,60,0.84,0.05,4.49,0.03,-0.24,0.06,0.82,0.05,9.96,0.22,15.2,9.4,B1,Yee,282.9149725,43.63603527777778
KIC 7940546,6264,60,1.85,0.15,3.99,0.03,-0.19,0.06,1.24,0.1,9.55,0.1,11.1,7.4,B1,Yee,283.0687433333333,43.709944722222225
KIC 7970740,5290,60,0.72,0.03,4.58,0.03,-0.49,0.06,0.74,0.04,9.83,0.48,36.6,8.0,B1,Yee,295.44018916666664,43.74769888888889
KIC 7976303,6053,60,1.95,0.16,3.87,0.03,-0.53,0.06,1.03,0.09,9.81,0.13,6.4,9.2,B1,Yee,297.0595470833333,43.74693361111111
KIC 8006161,5390,60,0.92,0.04,4.49,0.03,0.34,0.06,0.97,0.04,9.56,0.39,36.8,7.5,B1,Yee,281.1463295833333,43.833275
KIC 8179536,6344,60,1.33,0.09,4.27,0.03,0.01,0.06,1.22,0.05,9.41,0.14,7.1,9.5,B1,Yee,296.3498508333333,44.07662916666667
KIC 8228742,6042,60,1.77,0.13,4.02,0.03,-0.14,0.06,1.19,0.07,9.63,0.1,5.6,9.5,B1,Yee,290.1997466666666,44.15520861111111
KIC 8394589,6114,60,1.12,0.07,4.32,0.03,-0.36,0.06,0.97,0.05,9.79,0.11,7.8,9.6,B1,Yee,300.46426999999994,44.353929722222226
KIC 8524425,5634,60,1.8,0.16,3.98,0.03,0.14,0.06,1.13,0.11,9.85,0.14,5.6,9.9,B1,Yee,300.6388375,44.53305388888889
KIC 8561221,5245,60,2.56,0.27,3.61,0.03,-0.06,0.06,0.96,0.18,10.04,0.24,3.5,10.1,B1,Yee,292.28516874999997,44.641236666666664
KIC 8694723,6120,60,1.42,0.1,4.1,0.03,-0.59,0.06,0.93,0.04,9.93,0.06,8.2,8.9,B1,Yee,293.9607245833333,44.880561666666665
KIC 8702606,5540,60,2.24,0.18,3.76,0.03,-0.09,0.06,1.05,0.12,9.9,0.14,5.4,9.5,B1,Yee,296.5743604166666,44.82767055555556
KIC 8751420,5264,60,2.27,0.16,3.7,0.03,-0.15,0.06,0.94,0.06,10.07,0.1,17.2,7.0,B1,Yee,291.0140799999999,44.93353833333333
KIC 8938364,5630,60,1.33,0.1,4.16,0.03,-0.2,0.06,0.94,0.06,9.97,0.1,6.2,10.2,B1,Yee,285.5412383333333,45.27759916666667
KIC 9098294,5840,60,1.14,0.08,4.3,0.03,-0.13,0.06,0.98,0.05,9.87,0.09,8.0,9.9,B1,Yee,295.0883783333333,45.48915638888889
KIC 9139151,6125,60,1.14,0.06,4.38,0.03,0.11,0.06,1.15,0.04,9.29,0.24,9.6,9.3,B1,Yee,284.08860083333326,45.514787222222225
KIC 9139163,6400,60,1.53,0.11,4.18,0.03,0.15,0.06,1.32,0.05,9.41,0.08,9.6,8.3,B1,Yee,284.09219499999995,45.507044722222226
KIC 9206432,6608,60,1.49,0.09,4.23,0.03,0.23,0.06,1.39,0.06,9.16,0.13,6.6,9.1,B1,Yee,285.93806458333336,45.60838583333334
HIP 10337,4051,239,0.694,0.072,4.67,0.06,0.12,0.1,0.65,0.07,9.6,0.53,42.6,9.8,C1,Yee,33.30068583333333,-21.196454444444445
HIP 105341,4033,242,0.673,0.063,4.67,0.05,-0.05,0.1,0.64,0.07,9.64,0.52,63.2,9.1,C1,Yee,320.0575887499999,-19.852284166666667
HIP 114156,4146,209,0.66,0.051,4.67,0.05,-0.02,0.1,0.65,0.06,9.59,0.52,45.1,9.6,C1,Yee,346.7794129166666,-23.159451666666666
HIP 118261,4615,214,0.715,0.051,4.62,0.05,-0.04,0.1,0.74,0.06,9.58,0.52,44.0,8.7,C1,Yee,359.8070808333333,-26.04874666666667
HIP 12493,4276,193,0.662,0.047,4.68,0.04,-0.29,0.1,0.64,0.06,9.6,0.52,41.9,9.5,C1,Yee,40.17863791666666,1.1986777777777777
HIP 15095,4227,199,0.653,0.047,4.67,0.04,-0.21,0.1,0.64,0.06,9.61,0.52,54.0,9.1,C1,Yee,48.68593458333333,-26.446248611111113
HIP 1532,4039,241,0.594,0.055,4.71,0.06,-0.37,0.1,0.58,0.06,9.6,0.53,49.3,9.9,C1,Yee,4.773176249999999,-9.964852222222222
HIP 19165,4298,200,0.659,0.047,4.68,0.04,-0.22,0.1,0.65,0.06,9.56,0.52,38.7,9.7,C1,Yee,61.64517374999999,-20.853118611111114
HIP 25220,4505,179,0.702,0.042,4.63,0.04,0.05,0.1,0.73,0.06,9.58,0.52,68.5,7.9,C1,Yee,80.90991416666665,17.324116666666665
HIP 36551,4395,193,0.669,0.046,4.66,0.04,-0.3,0.1,0.66,0.06,9.63,0.52,48.5,8.9,C1,Yee,112.78213166666666,14.614143055555555
HIP 40375,4334,209,0.711,0.052,4.65,0.04,0.03,0.1,0.7,0.06,9.55,0.52,52.0,8.8,C1,Yee,123.64964291666664,13.02282638888889
HIP 40910,4159,228,0.633,0.053,4.67,0.05,-0.06,0.1,0.64,0.06,9.6,0.52,44.4,9.7,C1,Yee,125.23053749999998,14.0713325
HIP 45839,4426,198,0.714,0.05,4.63,0.04,0.05,0.1,0.72,0.06,9.61,0.52,41.8,9.1,C1,Yee,140.18465458333333,-5.753971111111111
HIP 47201,4207,212,0.696,0.054,4.66,0.05,0.03,0.1,0.67,0.06,9.63,0.52,44.5,9.4,C1,Yee,144.29725125,22.694141944444446
HIP 48411,4357,199,0.742,0.072,4.63,0.04,0.2,0.1,0.72,0.07,9.62,0.52,47.7,8.8,C2,Yee,148.04734499999998,3.221840277777778
HIP 4845,3967,301,0.632,0.073,4.72,0.12,-0.19,0.1,0.59,0.09,9.62,0.52,46.7,10.0,C1,Yee,15.588058749999998,-10.423858888888889
HIP 54810,4395,185,0.681,0.044,4.64,0.04,0.03,0.1,0.7,0.06,9.58,0.52,54.2,8.6,C1,Yee,168.30514416666665,4.482343055555556
HIP 5663,4186,222,0.672,0.055,4.67,0.05,-0.05,0.1,0.66,0.06,9.58,0.52,44.0,9.5,C1,Yee,18.192212499999997,-25.235578333333333
HIP 66222,3904,266,0.667,0.087,4.7,0.07,-0.11,0.1,0.59,0.08,9.62,0.52,48.8,9.9,C2,Yee,203.58959124999996,4.667400277777778
HIP 93871,4449,177,0.681,0.043,4.67,0.04,-0.47,0.1,0.65,0.05,9.67,0.52,40.8,9.2,C1,Yee,286.75850291666666,7.615875833333333
HIP 97051,4200,248,0.631,0.057,4.7,0.07,-0.19,0.1,0.62,0.07,9.59,0.52,38.5,10.0,C1,Yee,295.85556541666665,10.089512500000001
HD 111631,3989,60,0.646,0.02,4.66,0.05,0.24,0.08,0.7,0.07,9.79,0.51,93.7,8.5,D1,Yee,192.68152833333332,-0.7681297222222223
HD 1326B,3218,60,0.192,0.008,5.07,0.05,-0.3,0.08,0.16,0.02,9.64,0.53,,11.0,D3,Yee,4.607604583333333,44.027247777777774
HD 157881,4124,60,0.649,0.02,4.66,0.05,0.19,0.08,0.71,0.07,9.65,0.52,129.3,7.6,D1,Yee,261.43846833333333,2.1114230555555555
HD 165222,3614,60,0.459,0.016,4.79,0.05,-0.22,0.08,0.47,0.05,9.7,0.52,128.3,9.4,D2,Yee,271.2815779166666,-3.0313191666666666
HD 180617,3558,60,0.474,0.016,4.76,0.05,0.1,0.08,0.47,0.05,9.7,0.52,169.4,9.1,D1,Yee,289.23023541666663,5.168900000000001
HD 209290,3848,60,0.546,0.019,4.74,0.05,0.02,0.08,0.59,0.06,9.56,0.52,94.2,9.1,D1,Yee,330.54281249999997,1.400231111111111
HD 232979,3929,60,0.608,0.02,4.68,0.05,-0.11,0.08,0.65,0.07,9.78,0.51,101.2,8.9,D1,Yee,69.42054333333333,52.893614444444445
HD 245409,3966,60,0.601,0.02,4.69,0.05,0.05,0.08,0.65,0.07,9.66,0.52,87.7,8.9,D1,Yee,84.12912666666665,11.32786861111111
HD 265866,3448,60,0.358,0.013,4.88,0.05,-0.02,0.08,0.35,0.04,9.66,0.52,180.3,10.1,D1,Yee,103.70399166666665,33.26817722222222
HD 28343,4124,62,0.687,0.023,4.64,0.05,0.39,0.08,0.74,0.07,9.77,0.51,89.0,8.3,D1,Yee,67.25051583333332,21.922699166666668
GJ 628,3272,60,0.325,0.012,4.88,0.05,-0.03,0.08,0.29,0.03,9.85,0.48,232.3,10.1,D1,Yee,247.57524291666664,-12.662589166666667
GL 105B,3284,60,0.278,0.01,4.94,0.05,-0.12,0.03,0.25,0.03,9.85,0.51,,11.7,D3,Yee,39.06361166666667,6.871643055555556
GL 109,3405,60,0.364,0.014,4.85,0.05,-0.1,0.08,0.34,0.03,9.72,0.51,132.4,10.6,D2,Yee,41.064623749999996,25.523365
GL 2066,3500,60,0.461,0.017,4.77,0.05,-0.12,0.08,0.45,0.04,9.78,0.51,112.0,10.1,D1,Yee,124.03325541666668,1.3025736111111113
GL 239,3801,60,0.423,0.015,4.86,0.05,-0.34,0.08,0.47,0.05,9.49,0.52,99.5,9.6,D1,Yee,99.294995,17.564814722222224
GL 250B,3481,60,0.46,0.017,4.76,0.05,0.14,0.03,0.44,0.04,9.69,0.52,,10.1,D3,Yee,103.07517291666666,-5.190011666666667
GL 273,3317,60,0.315,0.012,4.89,0.05,-0.11,0.08,0.28,0.03,9.85,0.49,263.3,9.9,D2,Yee,111.85207874999999,5.225789166666667
GL 382,3623,60,0.522,0.019,4.72,0.05,0.13,0.08,0.53,0.05,9.75,0.52,128.0,9.3,D2,Yee,153.07361749999998,-3.7456644444444445
GL 393,3548,60,0.42,0.016,4.82,0.05,-0.18,0.08,0.43,0.04,9.66,0.52,138.3,9.7,D2,Yee,157.2314633333333,0.8409994444444445
GL 514,3727,61,0.483,0.016,4.79,0.05,-0.09,0.08,0.53,0.05,9.54,0.52,131.1,9.0,D2,Yee,202.49910749999995,10.377162222222223
GL 625,3475,60,0.331,0.012,4.9,0.05,-0.35,0.08,0.32,0.03,9.75,0.51,154.1,10.2,D1,Yee,246.3525958333333,54.30410138888889
GL 686,3657,60,0.424,0.015,4.83,0.05,-0.25,0.08,0.44,0.04,9.63,0.53,123.0,9.6,D2,Yee,264.47227833333335,18.59171222222222
GL 694,3464,61,0.44,0.017,4.79,0.05,0.0,0.08,0.43,0.04,9.72,0.52,105.4,10.5,D2,Yee,265.9831787499999,43.37861111111111
GL 745A,3500,60,0.31,0.012,4.93,0.05,-0.33,0.08,0.3,0.03,9.75,0.52,113.4,10.8,D1,Yee,286.7731858333333,20.88803888888889
GL 806,3542,61,0.443,0.018,4.78,0.05,-0.15,0.08,0.43,0.04,9.72,0.52,83.0,10.7,D1,Yee,311.26707999999996,44.499068055555554
GL 83.1,3080,60,0.187,0.01,5.05,0.05,-0.16,0.08,0.14,0.01,9.68,0.53,,12.3,D3,Yee,30.053984583333328,13.051944444444445
GL 87,3638,62,0.443,0.017,4.79,0.05,-0.36,0.08,0.44,0.04,9.74,0.52,94.8,10.0,D1,Yee,33.08744708333333,3.57562
GL 875,3740,61,0.563,0.024,4.7,0.05,0.02,0.08,0.58,0.06,9.77,0.51,71.4,9.8,D2,Yee,342.58093458333326,-7.090104999999999
GL 896A,3353,60,0.409,0.016,4.79,0.05,0.03,0.08,0.38,0.04,9.76,0.51,,10.2,D3,Yee,352.9673908333333,19.937258333333332
GL 908,3646,60,0.407,0.014,4.83,0.05,-0.45,0.08,0.41,0.04,9.72,0.52,169.1,9.0,D1,Yee,357.30218749999995,2.401223611111111
HIP 104432,3545,60,0.369,0.016,4.86,0.05,-0.45,0.08,0.36,0.04,9.7,0.52,84.9,10.9,D1,Yee,317.3226129166666,-13.302503611111112
HIP 109388,3530,60,0.47,0.018,4.78,0.05,0.37,0.08,0.48,0.05,9.65,0.52,113.2,10.4,D1,Yee,332.41810124999995,-4.640736111111111
HIP 11048,3785,62,0.599,0.021,4.67,0.05,0.14,0.08,0.61,0.06,9.85,0.49,83.9,9.3,D2,Yee,35.56101541666666,47.88002888888889
HIP 115332,3324,60,0.416,0.02,4.79,0.05,0.24,0.08,0.39,0.04,9.68,0.52,93.5,11.7,D2,Yee,350.4060358333333,17.29038638888889
HIP 115562,3764,60,0.539,0.02,4.74,0.05,0.31,0.08,0.58,0.06,9.55,0.52,75.8,10.1,D1,Yee,351.1271441666666,57.85431027777778
HIP 15366,3700,61,0.628,0.031,4.65,0.05,0.53,0.08,0.64,0.06,9.76,0.51,57.8,10.3,D2,Yee,49.531168333333326,38.25206583333333
HIP 1734,3600,60,0.528,0.028,4.73,0.05,0.27,0.08,0.55,0.06,9.69,0.52,55.2,11.1,D1,Yee,5.483519166666666,-31.40605833333333
HIP 21556,3671,61,0.444,0.017,4.82,0.05,-0.04,0.08,0.47,0.05,9.55,0.52,89.5,10.3,D1,Yee,69.42444041666666,-11.038881111111111
HIP 22762,3506,60,0.421,0.019,4.81,0.05,-0.24,0.08,0.41,0.04,9.75,0.51,83.7,10.9,D1,Yee,73.45824958333333,-17.773419166666667
HIP 23512,3365,60,0.284,0.013,4.95,0.05,-0.12,0.08,0.26,0.03,9.75,0.52,107.9,11.7,D1,Yee,75.83368499999999,-17.37353361111111
HIP 36338,3448,60,0.404,0.019,4.82,0.05,-0.01,0.08,0.4,0.04,9.69,0.51,79.7,11.5,D2,Yee,112.18933,-3.2981427777777776
HIP 36834,3681,60,0.385,0.016,4.87,0.05,-0.37,0.08,0.4,0.04,9.62,0.52,85.2,10.4,D1,Yee,113.61430374999999,62.94148833333333
