Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
HIP 37217,3358,60,0.315,0.016,4.9,0.05,-0.18,0.08,0.29,0.03,9.81,0.51,92.2,11.7,D2,Yee,114.67066833333331,-21.224578055555554
HIP 46769,3692,60,0.518,0.021,4.74,0.05,-0.2,0.08,0.53,0.05,9.72,0.52,73.6,10.1,D1,Yee,142.98472041666665,36.32022861111111
HIP 47513,3500,60,0.485,0.019,4.74,0.05,-0.05,0.08,0.47,0.05,9.83,0.49,86.2,10.4,D1,Yee,145.29316791666665,13.209562222222221
HIP 51007,3700,60,0.497,0.02,4.76,0.05,-0.02,0.08,0.52,0.05,9.63,0.53,78.3,10.1,D1,Yee,156.2951545833333,-10.228691666666666
HIP 5643,3056,60,0.168,0.009,5.1,0.05,-0.26,0.08,0.13,0.01,9.61,0.52,269.1,12.1,D2,Yee,18.12765333333333,-16.998988333333333
HIP 57050,3304,61,0.376,0.018,4.81,0.05,0.07,0.08,0.34,0.03,9.78,0.51,90.9,12.0,D1,Yee,175.4359825,42.75197277777778
HIP 57548,3192,60,0.197,0.008,5.08,0.05,-0.02,0.08,0.17,0.02,9.62,0.53,295.8,11.2,D1,Yee,176.9349883333333,0.8045555555555556
HIP 59748,3900,61,0.669,0.038,4.63,0.06,0.14,0.08,0.7,0.07,9.84,0.51,43.8,10.5,D1,Yee,183.7867595833333,48.73255944444445
HIP 60093,3993,60,0.643,0.037,4.67,0.06,0.46,0.08,0.7,0.07,9.58,0.52,42.2,10.6,D1,Yee,184.85037916666664,28.382371388888888
HIP 61706,3463,60,0.466,0.025,4.77,0.06,0.26,0.08,0.47,0.05,9.64,0.53,65.0,11.5,D2,Yee,189.71850416666663,11.696150833333334
HIP 65016,3650,60,0.598,0.025,4.66,0.05,0.4,0.08,0.6,0.06,9.87,0.5,58.9,10.6,D1,Yee,199.9171895833333,33.34653
HIP 71253,3211,60,0.31,0.013,4.89,0.05,0.17,0.08,0.27,0.03,9.89,0.49,159.1,11.3,D1,Yee,218.57004833333332,-12.519559444444445
HIP 8051,3458,60,0.414,0.017,4.81,0.05,-0.13,0.08,0.4,0.04,9.76,0.51,89.2,10.9,D1,Yee,25.834079166666665,4.3216552777777775
HIP 91699,3400,61,0.394,0.019,4.81,0.05,-0.16,0.08,0.37,0.04,9.75,0.51,92.8,11.3,D1,Yee,280.49598208333333,31.83048972222222
HD 101501,5309,27,0.94,0.01,4.42,0.02,-0.03,0.1,0.84,0.03,10.14,0.05,104.8,5.3,E2,Yee,175.2625675,34.20163361111111
HD 10476,5242,12,0.81,0.004,4.57,0.02,-0.02,0.1,0.88,0.04,9.51,0.42,133.9,5.2,E2,Yee,25.62401041666666,20.2685125
HD 10697,5442,65,1.915,0.052,3.91,0.05,0.12,0.1,1.09,0.1,9.92,0.12,30.7,6.3,E2,Yee,26.232606249999996,20.08314888888889
HD 10700,5290,39,0.815,0.012,4.5,0.03,-0.48,0.1,0.76,0.04,10.09,0.16,274.2,3.5,E2,Yee,26.017012916666665,-15.937479722222223
HD 107383,4705,24,15.781,0.344,2.15,0.04,-0.3,0.1,1.29,0.1,9.56,0.09,9.0,4.7,E2,Yee,185.17927375,17.792868611111114
HD 10780,5398,75,0.819,0.024,4.56,0.03,0.03,0.1,0.9,0.04,9.36,0.39,100.2,5.6,E2,Yee,26.936809999999994,63.85250305555556
HD 115617,5538,13,0.987,0.005,4.41,0.02,0.01,0.1,0.92,0.04,9.97,0.07,117.3,4.7,E2,Yee,199.60130791666666,-18.31119361111111
HD 117176,5406,64,1.968,0.047,3.84,0.05,-0.06,0.1,0.97,0.1,10.02,0.13,54.7,5.0,E1,Yee,202.10753541666665,13.778788333333335
HD 11964A,5013,62,2.143,0.069,3.77,0.05,0.14,0.1,0.99,0.07,10.09,0.1,29.4,6.4,E2,Yee,29.29003083333333,-10.242425555555554
HD 119850,3618,31,0.484,0.008,4.78,0.02,-0.3,0.1,0.5,0.02,9.84,0.49,184.1,8.5,E2,Yee,206.43239791666664,14.891519722222222
HD 120136,6620,67,1.331,0.027,4.3,0.02,0.24,0.1,1.31,0.03,9.07,0.11,64.1,4.5,E2,Yee,206.81557541666663,17.456891388888888
HD 126660,6211,19,1.734,0.011,4.08,0.02,-0.02,0.1,1.31,0.05,9.53,0.06,68.6,4.0,E2,Yee,216.29915375,51.85074361111111
HD 130948,5787,57,1.112,0.023,4.35,0.04,-0.05,0.1,0.99,0.05,9.86,0.13,55.7,5.9,E2,Yee,222.56587874999997,23.911842777777775
HD 131156,5483,32,0.863,0.011,4.53,0.03,-0.14,0.1,0.91,0.05,9.62,0.4,149.3,4.6,E2,Yee,222.84741624999998,19.100471944444447
HD 1326,3567,11,0.386,0.002,4.87,0.01,-0.36,0.1,0.4,0.01,9.66,0.52,280.7,8.1,E1,Yee,4.595353749999999,44.022954722222224
HD 136202,5661,87,2.143,0.067,3.83,0.06,-0.04,0.1,1.11,0.13,9.82,0.16,40.5,5.1,E2,Yee,229.82832249999996,1.7654072222222221
HD 143761,5627,54,1.362,0.026,4.15,0.03,-0.22,0.1,0.96,0.06,9.96,0.1,57.4,5.4,E2,Yee,240.26108499999995,33.30351083333333
HD 145675,5518,102,0.867,0.032,4.53,0.03,0.44,0.1,0.98,0.04,9.27,0.36,55.9,6.7,E1,Yee,242.601315,43.817640833333336
HD 1461,5386,60,1.244,0.03,4.22,0.04,0.16,0.1,0.93,0.03,10.15,0.05,42.7,6.5,E2,Yee,4.674448333333332,-8.053000833333334
HD 149661,5337,41,0.759,0.012,4.59,0.01,0.04,0.1,0.85,0.03,9.22,0.29,102.3,5.8,E2,Yee,249.08937333333333,-2.324586944444444
HD 157214,5738,48,1.116,0.019,4.29,0.04,-0.37,0.1,0.87,0.06,10.04,0.11,69.5,5.4,E2,Yee,260.16486416666663,32.46774361111111
HD 158633,5203,46,0.789,0.014,4.54,0.04,-0.41,0.1,0.77,0.05,10.03,0.33,78.3,6.4,E1,Yee,261.2504070833333,67.30670777777777
HD 16160,4662,17,0.795,0.006,4.54,0.01,-0.08,0.1,0.77,0.01,10.16,0.04,138.7,5.8,E2,Yee,39.02042208333333,6.8867730555555555
HD 161797,5502,55,1.745,0.035,3.99,0.03,0.23,0.1,1.08,0.05,9.93,0.07,119.0,3.4,E2,Yee,266.61477999999994,27.72071111111111
HD 164259,6454,113,1.961,0.071,4.01,0.04,-0.03,0.1,1.43,0.07,9.4,0.08,43.1,4.6,E2,Yee,270.12087499999996,-3.690271388888889
HD 166,5327,39,0.917,0.009,4.45,0.03,0.08,0.1,0.87,0.04,10.05,0.13,72.6,6.1,E1,Yee,1.6532666666666664,29.02150333333333
HD 16765,6356,46,1.208,0.029,4.35,0.04,-0.15,0.1,1.17,0.06,9.32,0.25,46.2,5.7,E2,Yee,40.30832166666667,-0.6956622222222222
HD 168151,6221,39,1.758,0.022,4.03,0.04,-0.28,0.1,1.19,0.1,9.6,0.11,42.6,5.0,E2,Yee,273.4743033333333,64.39728472222222
HD 16895,6153,25,1.319,0.011,4.26,0.02,0.0,0.1,1.16,0.05,9.59,0.09,89.0,4.1,E2,Yee,41.04994416666666,49.22844833333333
HD 173667,6296,19,2.064,0.017,3.96,0.01,-0.03,0.1,1.43,0.04,9.44,0.03,52.4,4.2,E2,Yee,281.41552333333334,20.546309166666667
HD 173701,5297,53,0.952,0.021,4.43,0.04,0.24,0.1,0.88,0.05,10.06,0.18,36.8,7.5,E1,Yee,281.1463295833333,43.833275
HD 173739,3407,15,0.356,0.004,4.9,0.01,-0.49,0.1,0.36,0.01,9.83,0.48,283.5,8.9,E1,Yee,280.69460124999995,59.63039138888889
HD 173740,3104,28,0.323,0.006,4.92,0.01,-0.36,0.1,0.3,0.01,10.01,0.36,286.4,9.7,E1,Yee,280.69539416666663,59.626866944444444
HD 177153,5909,69,1.289,0.037,4.25,0.04,-0.06,0.1,1.06,0.05,9.8,0.1,24.1,7.2,E1,Yee,285.415325,41.49009111111111
HD 181420,6283,106,1.73,0.084,4.09,0.06,-0.03,0.1,1.31,0.09,9.5,0.12,20.0,6.5,E1,Yee,290.11279999999994,-1.309758888888889
HD 182572,5643,84,1.379,0.042,4.19,0.05,0.34,0.1,1.06,0.09,9.92,0.17,66.0,5.2,E2,Yee,291.2424995833333,11.944413333333333
HD 182736,5239,37,2.703,0.071,3.57,0.08,-0.06,0.1,0.97,0.17,10.02,0.22,17.2,7.0,E1,Yee,291.0140799999999,44.93353833333333
HD 185144,5246,26,0.778,0.008,4.58,0.03,-0.19,0.1,0.84,0.05,9.51,0.43,173.6,4.7,E1,Yee,293.08995916666663,69.66117638888889
HD 186408,5760,57,1.255,0.026,4.25,0.03,0.05,0.1,1.02,0.05,9.92,0.1,47.0,6.0,E1,Yee,295.45397249999996,50.525060833333335
HD 186427,5678,66,1.169,0.027,4.3,0.04,0.04,0.1,0.97,0.05,9.97,0.11,47.1,6.2,E1,Yee,295.4665525,50.51752472222222
HD 187637,6155,85,1.306,0.047,4.27,0.06,-0.09,0.1,1.13,0.07,9.61,0.17,19.1,7.5,E1,Yee,297.3255783333333,41.582460833333336
HD 188512,4920,102,3.21,0.133,3.39,0.09,-0.14,0.1,0.92,0.15,10.11,0.17,73.0,3.7,E2,Yee,298.8283033333333,6.406764166666667
HD 190360,5461,75,1.2,0.033,4.26,0.04,0.21,0.1,0.94,0.05,10.11,0.09,62.4,5.7,E1,Yee,300.90585416666664,29.896803333333335
HD 190406,5763,49,1.115,0.021,4.34,0.03,0.03,0.1,1.0,0.04,9.87,0.11,58.0,5.8,E1,Yee,301.0259195833333,17.07018777777778
HD 19373,5832,33,1.415,0.015,4.17,0.02,0.08,0.1,1.07,0.05,9.88,0.09,94.9,4.0,E2,Yee,47.26674708333333,49.613278333333334
HD 195564,5421,118,1.867,0.083,3.91,0.07,0.06,0.1,1.03,0.11,9.98,0.15,41.3,5.7,E2,Yee,308.09872749999994,-9.853384444444444
HD 199305,3692,22,0.547,0.007,4.72,0.01,-0.21,0.1,0.54,0.01,10.09,0.21,142.2,8.6,E1,Yee,313.33245374999996,62.15439361111111
HD 19994,5916,98,1.93,0.067,3.99,0.05,0.17,0.1,1.3,0.1,9.62,0.11,44.7,5.1,E2,Yee,48.19348541666667,-1.1960986111111112
HD 201091,4361,17,0.661,0.005,4.63,0.02,-0.19,0.1,0.68,0.03,9.9,0.46,287.1,5.2,E2,Yee,316.7247479166666,38.74941722222222
HD 201092,3932,25,0.601,0.007,4.67,0.01,-0.29,0.1,0.6,0.01,10.09,0.21,285.4,6.0,E2,Yee,316.7302658333333,38.74204388888889
HD 206860,5860,83,1.019,0.029,4.43,0.05,-0.16,0.1,1.0,0.08,9.64,0.37,54.4,6.0,E2,Yee,326.13054125,14.771939722222223
HD 21019,5261,65,2.421,0.076,3.64,0.05,-0.41,0.1,0.93,0.07,10.01,0.11,27.1,6.2,E2,Yee,50.82375458333333,-7.794098611111111
HD 210702,4780,18,5.231,0.117,3.05,0.09,0.03,0.1,1.12,0.21,9.86,0.27,17.9,5.9,E2,Yee,332.96387875,16.040554722222225
HD 216899,3713,11,0.548,0.005,4.72,0.01,0.06,0.1,0.56,0.01,9.99,0.39,146.0,8.6,E1,Yee,344.14501916666666,16.553431944444444
HD 217014,5706,95,1.168,0.042,4.32,0.06,0.17,0.1,1.01,0.07,9.89,0.21,65.1,5.5,E2,Yee,344.36658499999993,20.7688325
HD 217107,5391,40,1.21,0.019,4.25,0.03,0.31,0.1,0.94,0.03,10.13,0.06,50.0,6.2,E1,Yee,344.5647533333332,-2.3953841666666666
HD 217987,3676,35,0.471,0.009,4.79,0.02,-0.19,0.1,0.49,0.02,9.66,0.53,303.9,7.3,E2,Yee,346.4668154166666,-35.853070833333334
HD 219134,4699,16,0.778,0.005,4.55,0.01,0.07,0.1,0.77,0.02,10.12,0.11,153.2,5.6,E2,Yee,348.32072874999994,57.16835638888889
HD 219623,6285,94,1.195,0.036,4.36,0.04,0.04,0.1,1.18,0.06,9.25,0.25,49.3,5.6,E2,Yee,349.1762645833333,53.21347472222222
HD 222368,6192,26,1.595,0.014,4.12,0.02,-0.14,0.1,1.22,0.06,9.6,0.07,72.5,4.1,E2,Yee,354.9876691666666,5.626292500000001
HD 22484,5998,39,1.622,0.024,4.08,0.02,-0.09,0.1,1.15,0.04,9.71,0.09,72.9,4.3,E2,Yee,54.21826541666666,0.4016644444444445
HD 23249,4955,30,2.327,0.029,3.7,0.03,0.12,0.1,0.98,0.06,10.1,0.09,110.6,3.5,E2,Yee,55.81208541666666,-9.763391666666667
HD 26965,5147,14,0.805,0.004,4.52,0.03,-0.24,0.1,0.79,0.05,10.04,0.18,198.2,4.4,E2,Yee,63.81799833333333,-7.652869444444445
HD 30652,6441,19,1.322,0.01,4.29,0.02,0.0,0.1,1.25,0.05,9.28,0.15,124.6,3.2,E2,Yee,72.46004666666666,6.961277777777778
HD 34411,5774,44,1.331,0.021,4.2,0.03,0.05,0.1,1.03,0.04,9.92,0.08,79.1,4.7,E2,Yee,79.78531416666665,40.09905138888889
HD 36395,3801,9,0.574,0.004,4.7,0.01,0.35,0.1,0.6,0.01,9.76,0.49,177.1,8.0,E1,Yee,82.86414874999998,-3.6772288888888887
HD 3651,5046,86,0.947,0.032,4.46,0.04,0.15,0.1,0.85,0.04,10.12,0.13,90.0,5.9,E2,Yee,9.840855416666665,21.250475555555557
HD 38858,5646,45,0.933,0.016,4.46,0.04,-0.22,0.1,0.91,0.07,9.81,0.28,65.6,6.0,E1,Yee,87.14558416666665,-4.094644722222222
HD 39587,5898,25,0.979,0.009,4.47,0.02,-0.04,0.1,1.04,0.04,9.27,0.28,115.4,4.4,E2,Yee,88.59576208333333,20.276172777777777
HD 4628,4950,14,0.695,0.004,4.63,0.02,-0.22,0.1,0.75,0.03,9.41,0.44,134.0,5.7,E2,Yee,12.095732916666666,5.280613611111111
HD 48737,6478,21,2.71,0.021,3.8,0.01,0.14,0.1,1.7,0.04,9.23,0.03,57.0,3.4,E2,Yee,101.32235166666666,12.895594722222222
HD 49933,6635,90,1.42,0.04,4.21,0.05,-0.39,0.1,1.18,0.09,9.49,0.16,33.8,5.8,E1,Yee,102.70762874999998,-0.5408797222222222
HD 58946,6738,55,1.655,0.028,4.12,0.03,-0.25,0.1,1.32,0.09,9.39,0.11,54.1,4.2,E2,Yee,112.27799499999999,31.784549166666668
HD 6210,6089,35,4.517,0.152,3.37,0.05,-0.01,0.1,1.7,0.15,9.21,0.07,12.8,5.8,E1,Yee,16.08104583333333,61.58018388888889
HD 69897,6130,58,1.387,0.028,4.19,0.04,-0.26,0.1,1.07,0.08,9.73,0.12,55.2,5.1,E2,Yee,125.01608624999999,27.217705
HD 75732,5172,18,0.943,0.01,4.43,0.02,0.35,0.1,0.88,0.02,10.1,0.09,79.8,6.0,E2,Yee,133.14921291666664,28.330820555555555
HD 79210,3907,35,0.577,0.013,4.7,0.02,-0.18,0.1,0.58,0.02,9.85,0.51,161.6,7.6,E2,Yee,138.59489499999998,52.686608611111104
HD 7924,5075,83,0.782,0.026,4.58,0.04,-0.14,0.1,0.81,0.06,9.71,0.52,58.8,7.2,E1,Yee,20.496307083333335,76.71028833333334
HD 82885,5376,43,1.003,0.016,4.4,0.03,0.32,0.1,0.92,0.05,10.04,0.15,89.5,5.3,E2,Yee,143.91459208333333,35.810132499999995
HD 86728,5619,44,1.247,0.021,4.24,0.03,0.19,0.1,0.98,0.06,10.03,0.11,67.1,5.4,E2,Yee,150.25273666666666,31.923670277777777
HD 88230,4085,14,0.64,0.005,4.64,0.01,-0.16,0.1,0.63,0.01,10.14,0.09,205.2,6.6,E2,Yee,152.8422495833333,49.454236388888894
HD 95735,3464,15,0.392,0.003,4.86,0.01,-0.41,0.1,0.4,0.01,9.91,0.47,392.4,7.5,E2,Yee,165.83414499999998,35.969882222222225
GJ 176,3679,77,0.453,0.022,4.8,0.03,0.15,0.1,0.49,0.04,9.6,0.53,106.3,10.0,E1,Yee,70.73239583333333,18.958165277777777
GL 144,5077,35,0.735,0.005,4.61,0.02,-0.06,0.1,0.8,0.03,9.37,0.39,310.8,3.7,E2,Yee,53.23268499999999,-9.458260833333332
GL 338B,3867,37,0.567,0.014,4.71,0.02,-0.15,0.1,0.57,0.02,9.82,0.5,159.0,7.7,E1,Yee,138.60284499999997,52.68636166666666
GL 412A,3497,39,0.398,0.009,4.87,0.02,-0.4,0.1,0.41,0.02,9.73,0.52,206.9,8.8,E2,Yee,166.36907041666666,43.52677388888889
GL 570B,4507,58,0.739,0.019,4.6,0.03,0.02,0.1,0.73,0.03,10.0,0.48,133.6,5.7,E2,Yee,224.3605554166666,-21.411549166666664
GL 687,3413,28,0.418,0.007,4.85,0.01,-0.09,0.1,0.43,0.01,9.59,0.52,220.0,9.2,E1,Yee,264.10791375,68.33914138888889
GL 699,3222,10,0.187,0.001,5.11,0.01,-0.39,0.1,0.16,0.0,9.61,0.54,549.0,9.5,E2,Yee,269.45207666666664,4.693364722222222
GL 702A,5407,52,0.831,0.004,4.56,0.02,0.03,0.1,0.92,0.03,9.3,0.35,,4.1,E3,Yee,271.36353499999996,2.500146111111111
GL 702B,4393,149,0.67,0.009,4.64,0.02,0.03,0.1,0.71,0.03,9.61,0.52,,7.2,E3,Yee,271.36442874999995,2.4989469444444445
GL 876,3129,19,0.376,0.006,4.88,0.01,0.19,0.1,0.35,0.01,10.09,0.41,214.1,10.2,E1,Yee,343.31971874999994,-14.263695555555556
HIP 57087,3416,53,0.455,0.018,4.83,0.03,0.04,0.1,0.45,0.03,9.62,0.52,102.6,10.6,E1,Yee,175.5462220833333,26.706569444444444
HIP 74995,3442,54,0.299,0.01,4.97,0.03,-0.1,0.1,0.3,0.02,9.61,0.53,158.6,10.6,E1,Yee,229.86177874999996,-7.722274722222222
HIP 83043,3590,45,0.539,0.016,4.75,0.02,-0.04,0.1,0.52,0.02,9.89,0.48,96.4,9.7,E1,Yee,254.5368733333333,25.744159444444445
,2921,32,0.13,0.003,5.24,0.042,-0.27,0.08,0.107,0.009,9.46,0.59,0.0,15.611,N/A,Mann,-100.0,-100.0
,3376,35,0.309,0.012,4.952,0.04,0.13,0.08,0.312,0.016,9.43,0.6,0.0,12.958,N/A,Mann,-100.0,-100.0
Gl 15A,3626,32,0.382,0.007,4.882,0.019,-0.3,0.08,0.406,0.009,9.48,0.56,0.0,8.119,N/A,Mann,4.595353749999999,44.022954722222224
Gl 15B,3250,32,0.187,0.005,5.122,0.028,-0.3,0.08,0.169,0.006,9.44,0.59,0.0,11.007,N/A,Mann,4.607604583333333,44.027247777777774
GJ 1009,3657,45,0.507,0.019,4.759,0.036,0.27,0.08,0.538,0.019,9.46,0.52,0.0,11.175,N/A,Mann,5.483519166666666,-31.40605833333333
GJ 1029,3084,33,0.178,0.007,5.122,0.043,0.14,0.08,0.153,0.009,9.33,0.62,0.0,14.82,N/A,Mann,16.406843749999997,28.49265888888889
Gl 53.1B,3311,17,0.292,0.008,4.965,0.03,0.25,0.03,0.287,0.012,9.42,0.61,0.0,14.054,N/A,Mann,16.91055875,22.9557575
Gl 54.1,3132,31,0.159,0.006,5.169,0.036,-0.26,0.08,0.136,0.005,9.4,0.62,0.0,12.082,N/A,Mann,18.12765333333333,-16.998988333333333
Gl 56.3 B,4012,51,0.579,0.015,4.699,0.026,0.01,0.08,0.611,0.018,9.53,0.53,0.0,10.699,N/A,Mann,19.667573333333333,-0.8743938888888889
GJ 3098,3708,35,0.44,0.016,4.821,0.035,-0.2,0.08,0.468,0.017,9.41,0.6,0.0,11.2,N/A,Mann,23.10917458333333,-21.90512222222222
GJ 3105,3333,36,0.267,0.013,4.997,0.05,0.06,0.08,0.258,0.016,9.47,0.6,0.0,13.954,N/A,Mann,25.06906458333333,31.79182555555556
GJ 3108,3935,58,0.592,0.018,4.691,0.029,0.25,0.08,0.628,0.019,9.46,0.5,0.0,10.402,N/A,Mann,25.816554166666666,27.84210722222222
Gl 70,3578,29,0.385,0.011,4.879,0.028,-0.13,0.08,0.409,0.013,9.46,0.59,0.0,10.931,N/A,Mann,25.834079166666665,4.3216552777777775
GJ 3119,3089,29,0.164,0.004,5.148,0.025,-0.03,0.08,0.138,0.004,9.35,0.59,0.0,14.444,N/A,Mann,27.76708708333333,-6.118054444444444
Gl 79,3987,39,0.593,0.012,4.691,0.02,0.14,0.08,0.629,0.015,9.49,0.5,0.0,8.929,N/A,Mann,28.204885416666663,-22.43485777777778
Gl 83.1,3165,31,0.174,0.007,5.139,0.043,-0.16,0.08,0.152,0.009,9.34,0.62,0.0,12.285,N/A,Mann,30.053984583333328,13.051944444444445
Gl 87,3721,35,0.421,0.011,4.841,0.026,-0.36,0.08,0.448,0.012,9.44,0.57,0.0,10.062,N/A,Mann,33.08744708333333,3.57562
GJ 3142,3321,33,0.266,0.011,4.997,0.042,0.09,0.08,0.256,0.013,9.4,0.6,0.0,13.535,N/A,Mann,33.22759458333333,0.004682222222222223
GJ 3146,2899,48,0.135,0.006,5.215,0.045,-0.03,0.08,0.109,0.006,9.41,0.58,0.0,15.758,N/A,Mann,34.12438041666666,13.586884166666668
GJ 3147,2919,26,0.145,0.003,5.184,0.019,0.17,0.08,0.117,0.002,9.39,0.61,0.0,15.85,N/A,Mann,34.291742083333325,35.4423725
GJ 3150,3342,33,0.251,0.012,5.019,0.05,-0.07,0.08,0.24,0.015,9.37,0.62,0.0,14.127,N/A,Mann,34.75969624999999,23.881936111111113
Gl 96,3892,38,0.566,0.012,4.711,0.021,0.14,0.08,0.6,0.013,9.48,0.54,0.0,9.413,N/A,Mann,35.56101541666666,47.88002888888889
Gl 102,3210,36,0.201,0.009,5.092,0.046,0.0,0.08,0.182,0.01,9.42,0.59,0.0,13.046,N/A,Mann,38.40489916666666,24.92713527777778
Gl 104,3647,39,0.48,0.015,4.784,0.03,0.12,0.08,0.511,0.015,9.46,0.56,0.0,10.655,N/A,Mann,38.97211208333333,20.219883888888887
Gl 105 B,3390,7,0.26,0.002,5.015,0.011,-0.12,0.03,0.255,0.005,9.36,0.61,0.0,11.67,N/A,Mann,39.06361166666667,6.871643055555556
,3720,22,0.489,0.007,4.776,0.014,0.06,0.03,0.521,0.008,9.38,0.59,0.0,9.987,N/A,Mann,-100.0,-100.0
Gl 109,3502,29,0.342,0.009,4.924,0.026,-0.1,0.08,0.358,0.011,9.37,0.58,0.0,10.599,N/A,Mann,41.064623749999996,25.523365
,0,0,nan,nan,nan,nan,-0.31,0.08,nan,nan,nan,nan,0.0,15.133,N/A,Mann,-100.0,-100.0
,3491,29,0.325,0.016,4.945,0.049,-0.16,0.08,0.339,0.019,9.53,0.58,0.0,12.694,N/A,Mann,-100.0,-100.0
Gl 118.2 C,3341,16,0.323,0.008,4.932,0.027,0.28,0.03,0.325,0.012,9.5,0.57,0.0,13.827,N/A,Mann,43.89907916666666,26.872350833333332
GJ 3195,3602,27,0.399,0.009,4.865,0.023,-0.12,0.08,0.425,0.011,9.46,0.6,0.0,12.564,N/A,Mann,46.1810125,61.7357925
Gl 134,3795,63,0.585,0.03,4.695,0.047,0.53,0.08,0.618,0.022,9.51,0.49,0.0,10.284,N/A,Mann,49.531168333333326,38.25206583333333
,3214,33,0.214,0.008,5.065,0.038,0.07,0.08,0.194,0.009,9.39,0.61,0.0,13.995,N/A,Mann,-100.0,-100.0
GJ 3253,3171,29,0.192,0.005,5.104,0.027,0.01,0.08,0.171,0.006,9.44,0.6,0.0,13.775,N/A,Mann,58.17396583333333,17.017824722222223
,3466,23,0.268,0.007,5.01,0.029,-0.35,0.05,0.268,0.011,9.41,0.61,0.0,14.508,N/A,Mann,-100.0,-100.0
Gl 166 C,3362,18,0.242,0.004,5.038,0.017,-0.21,0.08,0.233,0.005,9.44,0.6,0.0,11.23,N/A,Mann,63.839732916666655,-7.655748333333333
Gl 169,4197,40,0.661,0.011,4.65,0.017,0.39,0.08,0.711,0.014,9.46,0.49,0.0,8.335,N/A,Mann,67.25051583333332,21.922699166666668
Gl 172,4054,38,0.571,0.011,4.704,0.02,-0.11,0.08,0.602,0.016,9.45,0.51,0.0,8.627,N/A,Mann,69.42054333333333,52.893614444444445
