Name,Teff,e_Teff,R*,e_R*,log(g),e_log(g),[Fe/H],e_[Fe/H],M*,e_M*,logA,e_logA,plx,Vmag,Notes,Source,RA,Dec
Gl 173,3668,33,0.444,0.012,4.818,0.026,-0.04,0.08,0.473,0.013,9.47,0.59,0.0,10.346,N/A,Mann,69.42444041666666,-11.038881111111111
Gl 176,3631,40,0.464,0.014,4.801,0.029,0.14,0.08,0.496,0.015,9.36,0.58,0.0,9.993,N/A,Mann,70.73239583333333,18.958165277777777
Gl 180,3619,31,0.392,0.013,4.872,0.033,-0.24,0.08,0.417,0.015,9.44,0.55,0.0,10.91,N/A,Mann,73.45824958333333,-17.773419166666667
GJ 3323,3204,24,0.192,0.004,5.11,0.021,-0.06,0.08,0.173,0.004,9.38,0.6,0.0,12.135,N/A,Mann,75.48927541666666,-6.946215555555556
GJ 3325,3410,25,0.276,0.009,4.994,0.035,-0.12,0.08,0.274,0.013,9.45,0.61,0.0,11.763,N/A,Mann,75.83368499999999,-17.37353361111111
Gl 205,3805,31,0.579,0.009,4.7,0.015,0.49,0.08,0.613,0.01,9.41,0.48,0.0,7.932,N/A,Mann,82.86414874999998,-3.6772288888888887
Gl 208,4020,41,0.585,0.012,4.696,0.021,0.05,0.08,0.62,0.015,9.43,0.52,0.0,8.865,N/A,Mann,84.12912666666665,11.32786861111111
Gl 212,3819,34,0.55,0.011,4.724,0.019,0.19,0.03,0.584,0.011,9.4,0.57,0.0,9.739,N/A,Mann,85.37804416666667,53.489802777777776
Gl 213,3370,23,0.243,0.007,5.036,0.03,-0.22,0.08,0.234,0.009,9.41,0.62,0.0,11.58,N/A,Mann,85.538615,12.489334444444443
,3671,41,0.519,0.016,4.748,0.03,0.31,0.08,0.55,0.017,9.47,0.56,0.0,10.795,N/A,Mann,-100.0,-100.0
GJ 3379,3297,30,0.249,0.006,5.02,0.025,0.07,0.08,0.237,0.007,9.37,0.61,0.0,11.281,N/A,Mann,90.01460083333333,2.7065533333333334
GJ 3378,3381,26,0.261,0.007,5.011,0.029,-0.09,0.08,0.255,0.01,9.41,0.61,0.0,11.668,N/A,Mann,90.29602291666666,59.597190000000005
GJ 3380,3044,32,0.157,0.005,5.164,0.032,0.01,0.08,0.131,0.005,9.39,0.6,0.0,14.541,N/A,Mann,90.62164291666666,49.86559861111111
,3455,25,0.3,0.011,4.971,0.038,-0.15,0.08,0.307,0.015,9.46,0.62,0.0,11.886,N/A,Mann,-100.0,-100.0
GJ 3388,3394,29,0.271,0.01,5.0,0.038,-0.08,0.08,0.268,0.013,9.4,0.61,0.0,12.798,N/A,Mann,93.50984,51.668908333333334
Gl 232,3216,30,0.187,0.007,5.117,0.039,-0.18,0.08,0.167,0.008,9.41,0.6,0.0,13.099,N/A,Mann,96.17201999999999,23.43303777777778
Gl 239,3758,37,0.434,0.011,4.827,0.025,-0.34,0.08,0.461,0.012,9.39,0.57,0.0,9.611,N/A,Mann,99.294995,17.564814722222224
GJ 3408 B,3674,28,0.414,0.013,4.848,0.03,-0.26,0.03,0.44,0.013,9.42,0.6,0.0,12.15,N/A,Mann,-100.0,-100.0
GJ 1092,3298,41,0.188,0.009,5.118,0.048,-0.51,0.08,0.169,0.009,9.39,0.58,0.0,13.783,N/A,Mann,102.27273458333332,37.11402416666667
Gl 250 B,3569,19,0.436,0.006,4.827,0.014,0.14,0.03,0.466,0.008,9.41,0.6,0.0,10.045,N/A,Mann,103.07517291666666,-5.190011666666667
Gl 251,3487,31,0.349,0.008,4.915,0.023,-0.02,0.08,0.365,0.009,9.38,0.58,0.0,10.068,N/A,Mann,103.70399166666665,33.26817722222222
Gl 272,3786,46,0.518,0.016,4.75,0.03,0.05,0.08,0.55,0.018,9.42,0.53,0.0,10.544,N/A,Mann,110.81206375,46.08741194444445
Gl 273,3438,26,0.293,0.005,4.979,0.02,-0.11,0.08,0.298,0.009,9.44,0.6,0.0,9.892,N/A,Mann,111.85207874999999,5.225789166666667
GJ 1097,3530,38,0.381,0.015,4.884,0.039,-0.01,0.08,0.405,0.017,9.45,0.6,0.0,11.41,N/A,Mann,112.18933,-3.2981427777777776
Gl 277.1,3667,37,0.386,0.013,4.879,0.033,-0.37,0.08,0.411,0.015,9.42,0.57,0.0,10.397,N/A,Mann,113.61430374999999,62.94148833333333
GJ 3459,3452,28,0.295,0.013,4.976,0.046,-0.18,0.08,0.3,0.017,9.44,0.6,0.0,11.756,N/A,Mann,114.67066833333331,-21.224578055555554
Gl 281,3922,46,0.574,0.013,4.704,0.023,0.12,0.08,0.608,0.016,9.48,0.5,0.0,9.638,N/A,Mann,114.84599541666665,2.183664722222222
Gl 289,3609,33,0.345,0.015,4.924,0.044,-0.45,0.08,0.364,0.019,9.42,0.57,0.0,11.455,N/A,Mann,117.06827374999997,20.368124444444444
Gl 297.2 B,3700,39,0.479,0.011,4.785,0.022,0.0,0.08,0.51,0.012,9.48,0.55,0.0,11.782,N/A,Mann,122.64289166666664,-13.814203055555556
GJ 2066,3644,30,0.423,0.009,4.84,0.022,-0.12,0.08,0.451,0.012,9.5,0.58,0.0,10.126,N/A,Mann,124.03325541666668,1.3025736111111113
GJ 1111,0,0,nan,nan,nan,nan,-0.15,0.08,nan,nan,nan,nan,0.0,14.834,N/A,Mann,127.45563624999997,26.776006666666667
Gl 324B,3237,17,0.259,0.008,4.997,0.032,0.31,0.03,0.243,0.01,9.41,0.61,0.0,13.153,N/A,Mann,133.17026124999998,28.31633916666667
Gl 338A,3930,52,0.548,0.018,4.724,0.032,-0.01,0.08,0.58,0.019,9.41,0.55,0.0,7.645,N/A,Mann,138.59489499999998,52.686608611111104
Gl 353,3806,37,0.483,0.013,4.778,0.027,-0.2,0.08,0.51,0.015,9.42,0.54,0.0,10.221,N/A,Mann,142.98472041666665,36.32022861111111
Gl 361,3648,37,0.442,0.012,4.822,0.027,-0.05,0.08,0.473,0.014,9.49,0.59,0.0,10.405,N/A,Mann,145.29316791666665,13.209562222222221
,0,0,nan,nan,nan,nan,-0.61,0.08,nan,nan,nan,nan,0.0,13.161,N/A,Mann,-100.0,-100.0
GJ 1129,3334,33,0.277,0.01,4.988,0.038,0.1,0.08,0.272,0.013,9.36,0.62,0.0,12.5,N/A,Mann,146.19728416666663,-18.2136025
,3412,35,0.305,0.014,4.962,0.048,0.01,0.08,0.311,0.019,9.4,0.61,0.0,12.041,N/A,Mann,-100.0,-100.0
Gl 380,4162,33,0.642,0.01,4.66,0.016,0.24,0.08,0.687,0.013,9.43,0.49,0.0,6.538,N/A,Mann,152.8422495833333,49.454236388888894
Gl 382,3696,36,0.5,0.012,4.766,0.023,0.13,0.08,0.532,0.012,9.48,0.56,0.0,9.281,N/A,Mann,153.07361749999998,-3.7456644444444445
Gl 388,3492,33,0.402,0.01,4.86,0.024,0.15,0.08,0.427,0.011,9.46,0.57,0.0,9.411,N/A,Mann,154.90116999999998,19.870002777777778
Gl 390,3743,41,0.485,0.014,4.779,0.028,-0.02,0.08,0.516,0.016,9.46,0.56,0.0,10.159,N/A,Mann,156.2951545833333,-10.228691666666666
Gl 393,3621,24,0.402,0.009,4.861,0.022,-0.18,0.08,0.428,0.01,9.45,0.57,0.0,9.665,N/A,Mann,157.2314633333333,0.8409994444444445
,3160,27,0.171,0.006,5.145,0.037,-0.2,0.08,0.149,0.007,9.41,0.59,0.0,15.071,N/A,Mann,-100.0,-100.0
Gl 402,3293,32,0.265,0.008,4.996,0.031,0.16,0.08,0.254,0.01,9.4,0.61,0.0,11.694,N/A,Mann,162.71679666666665,6.808127499999999
Gl 403,3406,28,0.274,0.012,4.996,0.046,-0.13,0.08,0.271,0.016,9.45,0.6,0.0,12.7,N/A,Mann,163.01768083333334,13.997584444444444
GJ 3631,3047,30,0.163,0.005,5.147,0.03,0.1,0.08,0.136,0.004,9.43,0.59,0.0,14.803,N/A,Mann,163.05937333333333,5.919396944444444
Gl 406,2808,27,0.135,0.003,5.199,0.038,0.25,0.08,0.105,0.008,9.45,0.53,0.0,13.52,N/A,Mann,164.12050333333332,7.014723055555556
Gl 411,3637,32,0.372,0.007,4.895,0.019,-0.38,0.08,0.396,0.008,9.54,0.55,0.0,7.498,N/A,Mann,165.83414499999998,35.969882222222225
Gl 412A,3649,32,0.376,0.008,4.89,0.021,-0.37,0.08,0.4,0.009,9.47,0.59,0.0,8.778,N/A,Mann,166.36907041666666,43.52677388888889
Gl 412B,0,0,nan,nan,nan,nan,-0.32,0.08,nan,nan,nan,nan,0.0,14.472,N/A,Mann,166.3786895833333,43.521634722222224
GJ 3668,3170,27,0.182,0.005,5.125,0.027,-0.07,0.08,0.161,0.005,9.44,0.61,0.0,14.171,N/A,Mann,172.78494666666666,-14.955903333333332
GJ 1148,3433,34,0.344,0.014,4.918,0.041,0.07,0.08,0.357,0.017,9.53,0.59,0.0,11.852,N/A,Mann,175.4359825,42.75197277777778
Gl 436,3584,39,0.42,0.014,4.842,0.032,0.01,0.08,0.447,0.015,9.47,0.57,0.0,10.691,N/A,Mann,175.5462220833333,26.706569444444444
Gl 447,3201,26,0.195,0.004,5.104,0.02,-0.02,0.08,0.176,0.004,9.45,0.6,0.0,11.148,N/A,Mann,176.9349883333333,0.8045555555555556
GJ 1151,3152,31,0.185,0.006,5.116,0.034,0.03,0.08,0.163,0.007,9.4,0.6,0.0,13.234,N/A,Mann,177.74050208333333,48.37737805555555
GJ 3707,3420,33,0.38,0.014,4.877,0.037,0.26,0.08,0.397,0.017,9.44,0.59,0.0,12.086,N/A,Mann,182.5233383333333,-15.071378055555556
Gl 458.2,4037,72,0.605,0.021,4.683,0.034,0.14,0.08,0.643,0.023,9.45,0.52,0.0,10.546,N/A,Mann,183.7867595833333,48.73255944444445
Gl 459.3,4027,69,0.63,0.016,4.667,0.025,0.46,0.08,0.672,0.018,9.46,0.48,0.0,10.643,N/A,Mann,184.85037916666664,28.382371388888888
Gl 471,3896,42,0.541,0.014,4.729,0.026,-0.04,0.08,0.572,0.016,9.46,0.52,0.0,9.704,N/A,Mann,187.81585416666667,8.810601111111112
Gl 480,3529,41,0.443,0.02,4.818,0.044,0.26,0.08,0.471,0.021,9.45,0.59,0.0,11.573,N/A,Mann,189.71850416666663,11.696150833333334
Gl 488,4067,36,0.622,0.011,4.672,0.018,0.24,0.08,0.663,0.013,9.42,0.51,0.0,8.494,N/A,Mann,192.68152833333332,-0.7681297222222223
Gl 505 B,3840,21,0.502,0.006,4.762,0.012,-0.12,0.03,0.531,0.008,9.48,0.55,0.0,9.522,N/A,Mann,199.2148083333333,17.016636666666667
Gl 507.1,3752,36,0.56,0.013,4.713,0.022,0.4,0.08,0.591,0.013,9.5,0.5,0.0,10.617,N/A,Mann,199.9171895833333,33.34653
Gl 512A,3581,43,0.435,0.019,4.827,0.042,0.08,0.08,0.463,0.02,9.49,0.58,0.0,11.269,N/A,Mann,202.08782874999997,-2.3603044444444445
Gl 514,3755,30,0.476,0.009,4.786,0.019,-0.09,0.08,0.505,0.012,9.45,0.55,0.0,9.04,N/A,Mann,202.49910749999995,10.377162222222223
Gl 525,3896,37,0.476,0.015,4.782,0.03,-0.54,0.08,0.5,0.014,9.45,0.53,0.0,9.81,N/A,Mann,206.2711695833333,17.78543555555556
Gl 526,3755,32,0.45,0.009,4.808,0.02,-0.31,0.08,0.475,0.01,9.51,0.56,0.0,8.48,N/A,Mann,206.43239791666664,14.891519722222222
Gl 544 B,3242,13,0.196,0.004,5.104,0.022,-0.18,0.03,0.178,0.005,9.43,0.6,0.0,14.905,N/A,Mann,214.8993520833333,-5.152311388888889
Gl 545,3403,21,0.265,0.007,5.01,0.028,-0.17,0.08,0.262,0.01,9.34,0.63,0.0,12.932,N/A,Mann,215.0307095833333,-9.620386111111111
Gl 549 B,3585,27,0.389,0.007,4.876,0.018,-0.11,0.08,0.415,0.009,9.41,0.59,0.0,11.467,N/A,Mann,216.29825124999996,51.83141722222223
Gl 555,3322,32,0.287,0.009,4.974,0.033,0.17,0.08,0.283,0.012,9.42,0.59,0.0,11.338,N/A,Mann,218.57004833333332,-12.519559444444445
,3495,16,0.333,0.01,4.934,0.03,-0.09,0.03,0.347,0.012,9.46,0.59,0.0,13.569,N/A,Mann,-100.0,-100.0
Gl 581,3457,22,0.299,0.007,4.972,0.026,-0.15,0.08,0.306,0.011,9.44,0.58,0.0,10.581,N/A,Mann,229.86177874999996,-7.722274722222222
Gl 585,3213,36,0.18,0.008,5.129,0.047,-0.25,0.08,0.159,0.01,9.45,0.61,0.0,13.714,N/A,Mann,230.96307083333332,17.465956388888888
,3390,34,0.292,0.008,4.973,0.028,-0.01,0.08,0.292,0.01,9.45,0.61,0.0,13.426,N/A,Mann,-100.0,-100.0
Gl 615.2 C,3593,23,0.4,0.011,4.863,0.027,-0.06,0.03,0.426,0.013,9.47,0.58,0.0,12.251,N/A,Mann,243.48444791666662,33.77336
Gl 625,3540,34,0.319,0.007,4.953,0.022,-0.35,0.08,0.333,0.009,9.54,0.6,0.0,10.123,N/A,Mann,246.3525958333333,54.30410138888889
Gl 628,3411,34,0.299,0.006,4.968,0.023,-0.03,0.08,0.303,0.01,9.43,0.58,0.0,10.097,N/A,Mann,247.57524291666664,-12.662589166666667
GJ 3976,3171,28,0.178,0.006,5.13,0.035,-0.12,0.08,0.156,0.007,9.43,0.6,0.0,14.027,N/A,Mann,252.7414033333333,22.45157361111111
Gl 642,3868,53,0.464,0.02,4.793,0.041,-0.48,0.08,0.488,0.018,9.4,0.53,0.0,10.755,N/A,Mann,253.5501358333333,11.914682777777777
Gl 643,3339,27,0.223,0.008,5.062,0.036,-0.26,0.08,0.209,0.009,9.41,0.6,0.0,11.772,N/A,Mann,253.85509249999998,-8.322582222222222
Gl 644 C,0,0,nan,nan,nan,nan,-0.07,0.08,nan,nan,nan,nan,0.0,16.758,N/A,Mann,253.89689875000002,-8.39465361111111
GJ 1207,3346,27,0.244,0.006,5.031,0.025,-0.09,0.08,0.233,0.007,9.36,0.61,0.0,12.277,N/A,Mann,254.2739008333333,-4.348977222222222
Gl 649,3741,39,0.495,0.012,4.771,0.024,0.03,0.08,0.527,0.013,9.42,0.57,0.0,9.667,N/A,Mann,254.5368733333333,25.744159444444445
GJ 3991,3309,31,0.281,0.007,4.978,0.027,0.2,0.08,0.274,0.01,9.4,0.59,0.0,11.855,N/A,Mann,257.38143124999993,43.68132555555555
GJ 3992,3493,36,0.368,0.012,4.895,0.033,0.03,0.08,0.388,0.015,9.41,0.58,0.0,11.602,N/A,Mann,257.89478249999996,38.44275416666666
Gl 671,3534,27,0.357,0.01,4.909,0.029,-0.15,0.08,0.377,0.013,9.49,0.58,0.0,11.422,N/A,Mann,259.9696345833333,41.71380527777778
Gl 673,4170,36,0.636,0.01,4.662,0.016,0.19,0.08,0.678,0.014,9.46,0.49,0.0,7.51,N/A,Mann,261.43846833333333,2.1114230555555555
Gl 678.1A,3811,36,0.504,0.011,4.761,0.022,-0.09,0.08,0.534,0.014,9.46,0.54,0.0,9.334,N/A,Mann,262.59470125,5.548518055555555
Gl 685,3844,38,0.543,0.012,4.729,0.022,0.1,0.08,0.576,0.014,9.43,0.58,0.0,10.001,N/A,Mann,263.89366041666665,61.68156333333333
Gl 687,3522,34,0.394,0.008,4.868,0.02,0.05,0.08,0.418,0.01,9.47,0.58,0.0,9.182,N/A,Mann,264.10791375,68.33914138888889
Gl 686,3678,29,0.418,0.009,4.844,0.021,-0.25,0.08,0.445,0.01,9.41,0.57,0.0,9.603,N/A,Mann,264.47227833333335,18.59171222222222
Gl 694,3572,36,0.412,0.01,4.852,0.024,0.0,0.08,0.44,0.011,9.46,0.56,0.0,10.511,N/A,Mann,265.9831787499999,43.37861111111111
Gl 699,3269,29,0.181,0.004,5.132,0.022,-0.4,0.08,0.162,0.004,9.39,0.61,0.0,9.527,N/A,Mann,269.45207666666664,4.693364722222222
GJ 4040,3514,37,0.383,0.013,4.88,0.034,0.04,0.08,0.406,0.016,9.45,0.59,0.0,11.77,N/A,Mann,269.4623583333333,46.58864638888889
,3648,21,0.428,0.008,4.836,0.018,-0.06,0.03,0.458,0.009,9.5,0.56,0.0,12.538,N/A,Mann,-100.0,-100.0
,3412,23,0.266,0.007,5.008,0.027,-0.21,0.08,0.263,0.009,9.39,0.61,0.0,13.227,N/A,Mann,-100.0,-100.0
Gl 701,3701,26,0.437,0.008,4.824,0.018,-0.22,0.08,0.464,0.009,9.51,0.54,0.0,9.389,N/A,Mann,271.2815779166666,-3.0313191666666666
Gl 709,3881,40,0.528,0.012,4.739,0.023,-0.07,0.08,0.558,0.015,9.46,0.55,0.0,10.296,N/A,Mann,274.12952541666664,45.557853611111106
GJ 4065,3339,32,0.269,0.008,4.997,0.031,0.04,0.08,0.262,0.01,9.36,0.59,0.0,12.477,N/A,Mann,279.0801325,13.607325833333332
GJ 1230A,3365,31,0.341,0.013,4.914,0.039,0.24,0.08,0.348,0.016,9.55,0.6,0.0,12.205,N/A,Mann,280.2906595833333,24.78734138888889
GJ 4070,3538,29,0.359,0.013,4.908,0.036,-0.16,0.08,0.38,0.016,9.38,0.59,0.0,11.358,N/A,Mann,280.49598208333333,31.83048972222222
Gl 725A,3517,22,0.334,0.006,4.933,0.019,-0.23,0.08,0.349,0.008,9.47,0.6,0.0,8.897,N/A,Mann,280.69460124999995,59.63039138888889
Gl 725B,3421,29,0.259,0.006,5.018,0.024,-0.3,0.08,0.255,0.008,9.41,0.61,0.0,9.733,N/A,Mann,280.69539416666663,59.626866944444444
,3273,23,0.209,0.004,5.081,0.02,-0.13,0.08,0.192,0.005,9.38,0.61,0.0,13.727,N/A,Mann,-100.0,-100.0
Gl 729,3252,21,0.199,0.003,5.098,0.016,-0.18,0.08,0.181,0.004,9.44,0.57,0.0,10.528,N/A,Mann,282.4556820833333,-23.836235277777778
Gl 740,3872,41,0.558,0.013,4.716,0.023,0.14,0.08,0.591,0.014,9.48,0.57,0.0,9.247,N/A,Mann,284.50056749999993,5.9081222222222225
Gl 745A,3516,34,0.305,0.01,4.969,0.034,-0.33,0.08,0.316,0.013,9.5,0.59,0.0,10.78,N/A,Mann,286.7731858333333,20.88803888888889
Gl 745B,3532,34,0.314,0.011,4.959,0.036,-0.35,0.08,0.327,0.014,9.54,0.61,0.0,10.736,N/A,Mann,286.80501625,20.87701611111111
Gl 752A,3619,34,0.457,0.01,4.807,0.021,0.1,0.08,0.488,0.011,9.45,0.56,0.0,9.141,N/A,Mann,289.23023541666663,5.168900000000001
GJ 1236,3365,29,0.229,0.006,5.055,0.026,-0.29,0.08,0.217,0.006,9.45,0.59,0.0,12.388,N/A,Mann,290.50862666666666,7.041753888888889
,3299,14,0.244,0.004,5.025,0.018,0.05,0.03,0.23,0.006,9.4,0.61,0.0,13.894,N/A,Mann,-100.0,-100.0
GJ 1245B,2919,34,0.136,0.004,5.212,0.03,-0.05,0.08,0.11,0.004,9.49,0.6,0.0,13.957,N/A,Mann,298.4797520833333,44.41504083333333
Gl 777B,3190,31,0.202,0.007,5.087,0.034,0.06,0.08,0.182,0.007,9.39,0.6,0.0,14.405,N/A,Mann,300.86075416666665,29.866535833333334
Gl 783.2B,3330,26,0.229,0.012,5.051,0.055,-0.15,0.03,0.215,0.015,9.36,0.61,0.0,13.991,N/A,Mann,302.8052470833333,16.18555277777778
,3541,36,0.419,0.012,4.844,0.028,0.14,0.08,0.447,0.013,9.36,0.59,0.0,12.961,N/A,Mann,-100.0,-100.0
GJ 1253,3084,33,0.177,0.007,5.124,0.041,0.14,0.08,0.152,0.008,9.41,0.61,0.0,14.167,N/A,Mann,306.5220920833333,58.57296666666667
Gl 806,3640,30,0.416,0.011,4.847,0.026,-0.15,0.08,0.444,0.013,9.47,0.59,0.0,10.721,N/A,Mann,311.26707999999996,44.499068055555554
,3317,32,0.246,0.008,5.025,0.033,-0.02,0.08,0.234,0.009,9.41,0.62,0.0,11.462,N/A,Mann,-100.0,-100.0
Gl 809,3846,37,0.515,0.01,4.752,0.02,-0.06,0.08,0.546,0.013,9.39,0.54,0.0,8.566,N/A,Mann,313.33245374999996,62.15439361111111
Gl 811.1,3545,46,0.431,0.022,4.832,0.05,0.16,0.08,0.46,0.025,9.42,0.57,0.0,11.49,N/A,Mann,314.19415374999994,-10.448540833333334
Gl 820B,4126,36,0.574,0.01,4.698,0.018,-0.22,0.08,0.6,0.014,9.43,0.52,0.0,6.066,N/A,Mann,316.7302658333333,38.74204388888889
Gl 821,3620,33,0.352,0.011,4.916,0.032,-0.45,0.08,0.372,0.014,9.43,0.58,0.0,10.901,N/A,Mann,317.3226129166666,-13.302503611111112
Gl 838.3 B,3871,43,0.525,0.014,4.743,0.027,-0.07,0.08,0.556,0.017,9.41,0.57,0.0,11.482,N/A,Mann,327.97453041666665,42.34427277777778
Gl 846,3875,40,0.538,0.012,4.733,0.022,0.02,0.08,0.571,0.015,9.43,0.54,0.0,9.179,N/A,Mann,330.54281249999997,1.400231111111111
Gl 849,3537,32,0.467,0.011,4.794,0.023,0.37,0.08,0.495,0.011,9.4,0.58,0.0,10.409,N/A,Mann,332.41810124999995,-4.640736111111111
GJ 4269,3360,31,0.265,0.007,5.005,0.027,-0.04,0.08,0.259,0.008,9.39,0.63,0.0,13.971,N/A,Mann,334.01083666666665,54.666510277777775
,3924,56,0.569,0.019,4.709,0.033,0.13,0.08,0.604,0.021,9.41,0.53,0.0,10.528,N/A,Mann,-100.0,-100.0
Gl 864,3976,52,0.577,0.017,4.702,0.029,0.07,0.08,0.612,0.018,9.46,0.52,0.0,10.002,N/A,Mann,339.04036749999995,-0.8416002777777778
Gl 875,3836,46,0.529,0.015,4.741,0.028,0.02,0.08,0.562,0.016,9.44,0.53,0.0,9.866,N/A,Mann,342.58093458333326,-7.090104999999999
Gl 876,3384,32,0.333,0.008,4.926,0.024,0.17,0.08,0.341,0.01,9.51,0.58,0.0,10.183,N/A,Mann,343.31971874999994,-14.263695555555556
Gl 880,3760,35,0.537,0.01,4.734,0.018,0.21,0.08,0.57,0.011,9.46,0.52,0.0,8.666,N/A,Mann,344.14501916666666,16.553431944444444
Gl 887,3715,33,0.461,0.009,4.802,0.02,-0.06,0.08,0.491,0.011,9.46,0.58,0.0,7.339,N/A,Mann,346.4668154166666,-35.853070833333334
,4148,43,0.602,0.012,4.683,0.02,-0.05,0.08,0.637,0.016,9.45,0.5,0.0,10.239,N/A,Mann,-100.0,-100.0
Gl 894.1,3953,63,0.578,0.019,4.702,0.032,0.13,0.08,0.614,0.021,9.41,0.51,0.0,10.922,N/A,Mann,349.5747345833333,46.28928944444444
GJ 4333,3432,36,0.386,0.015,4.871,0.038,0.24,0.08,0.404,0.017,9.46,0.57,0.0,11.765,N/A,Mann,350.4060358333333,17.29038638888889
Gl 895,3746,35,0.545,0.012,4.727,0.021,0.31,0.08,0.578,0.012,9.41,0.57,0.0,10.043,N/A,Mann,351.1271441666666,57.85431027777778
Gl 896A,3491,35,0.374,0.01,4.888,0.027,0.03,0.08,0.394,0.012,9.53,0.57,0.0,10.195,N/A,Mann,352.9673908333333,19.937258333333332
Gl 896B,3309,32,0.259,0.008,5.006,0.031,0.03,0.08,0.248,0.009,9.4,0.63,0.0,12.096,N/A,Mann,352.96906375,19.93722361111111
Gl 905,3043,25,0.175,0.003,5.119,0.019,0.23,0.08,0.147,0.004,9.42,0.63,0.0,12.372,N/A,Mann,355.4793179166666,44.17744944444444
GJ 1288,3172,26,0.178,0.005,5.133,0.03,-0.12,0.08,0.157,0.006,9.4,0.6,0.0,14.375,N/A,Mann,355.71977708333327,30.822709166666666
GJ 1289,3250,35,0.224,0.011,5.051,0.049,0.05,0.08,0.206,0.011,9.42,0.61,0.0,12.652,N/A,Mann,355.7762991666666,36.5369825
Gl 908,3704,29,0.394,0.007,4.87,0.018,-0.45,0.08,0.42,0.008,9.45,0.55,0.0,9.004,N/A,Mann,357.30218749999995,2.401223611111111
GJ 4367,3287,28,0.299,0.011,4.954,0.039,0.37,0.08,0.293,0.015,9.41,0.6,0.0,13.27,N/A,Mann,357.63184499999994,-9.559070833333333
